departamento_id,departamento_nombre,provincia_id,provincia_nombre,anio,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
112,O'Higgins,22,Chaco,2023,19,Dengue,10,De 35 a 44 años,1
49,Capital,86,Santiago del Estero,2023,19,Dengue,3,De 13 a 24 meses,2
49,Pilcomayo,34,Formosa,2023,19,Dengue,4,De 2 a 4 años,3
147,Santa María,14,Córdoba,2023,19,Dengue,7,De 15 a 19 años,1
260,Esteban Echeverría,6,Buenos Aires,2023,19,Dengue,7,De 15 a 19 años,1
168,25 de Mayo,22,Chaco,2023,19,Dengue,9,De 25 a 34 años,1
7,Almirante Brown,22,Chaco,2023,19,Dengue,11,De 45 a 65 años,8
14,Cruz Alta,90,Tucumán,2023,19,Dengue,12,Mayores de 65 años,6
35,Curuzú Cuatiá,18,Corrientes,2023,19,Dengue,7,De 15 a 19 años,1
14,Alberdi,86,Santiago del Estero,2023,19,Dengue,12,Mayores de 65 años,1
10,COMUNA 10,2,CABA,2023,19,Dengue,10,De 35 a 44 años,4
9,COMUNA 9,2,CABA,2023,19,Dengue,12,Mayores de 65 años,5
28,Avellaneda,86,Santiago del Estero,2023,19,Dengue,8,De 20 a 24 años,1
49,Capital,86,Santiago del Estero,2023,19,Dengue,8,De 20 a 24 años,71
56,Leales,90,Tucumán,2023,19,Dengue,6,De 10 a 14 años,1
999,desconocido,99,desconocida,2023,19,Dengue,9,De 25 a 34 años,3
4,COMUNA 4,2,CABA,2023,19,Dengue,10,De 35 a 44 años,3
329,General Las Heras,6,Buenos Aires,2023,19,Dengue,11,De 45 a 65 años,1
112,O'Higgins,22,Chaco,2023,19,Dengue,5,De 5 a 9 años,2
658,Quilmes,6,Buenos Aires,2023,19,Dengue,9,De 25 a 34 años,8
49,Capital,86,Santiago del Estero,2023,19,Dengue,11,De 45 a 65 años,132
105,Tafí Viejo,90,Tucumán,2023,19,Dengue,10,De 35 a 44 años,14
560,Moreno,6,Buenos Aires,2023,19,Dengue,9,De 25 a 34 años,2
8,COMUNA 8,2,CABA,2023,19,Dengue,6,De 10 a 14 años,1
77,Libertador Grl. San Martín,54,Misiones,2023,19,Dengue,11,De 45 a 65 años,1
21,Chicligasta,90,Tucumán,2023,19,Dengue,10,De 35 a 44 años,5
21,Comandante Fernández,22,Chaco,2023,19,Dengue,4,De 2 a 4 años,1
49,Pilcomayo,34,Formosa,2023,19,Dengue,7,De 15 a 19 años,3
36,12 de Octubre,22,Chaco,2023,19,Dengue,6,De 10 a 14 años,4
35,Patiño,34,Formosa,2023,19,Dengue,11,De 45 a 65 años,1
91,Oberá,54,Misiones,2023,19,Dengue,11,De 45 a 65 años,1
371,General San Martín,6,Buenos Aires,2023,19,Dengue,7,De 15 a 19 años,2
84,Guasayán,86,Santiago del Estero,2023,19,Dengue,10,De 35 a 44 años,1
